Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1789364874,30,POST,/hunting/search,0.000000,0.000000,190,200,270,270,270,270,270,270,270,270,270,12,0,190,254.48863108279815,119.24487800206407,529.7113349988649,23.0
1789364874,30,GET,/incidents,0.333333,0.000000,170,170,170,170,410,410,410,410,410,410,410,8,0,170,241.33940387491748,103.36079499757034,594.8800030018901,2266.375
1789364874,30,POST,/incidents [seed],2.222222,0.000000,430,690,1200,1400,1500,1600,1600,1600,1600,1600,1600,40,0,430,685.1649022250058,217.76152000165894,1646.3696079990768,508.475
1789364874,30,POST,/ingest/events,6.222222,0.000000,220,260,320,340,750,960,1400,1500,2000,2000,2000,251,0,220,322.06311698407166,82.66752599956817,1969.4338139997853,67.0
1789364874,30,GET,/users/me,0.000000,0.000000,0,0,0,0,0,0,0,0,0,0,0,3,0,68,85.9311419990263,51.02264800007106,139.1684019981767,703.0
1789364874,30,,Aggregated,17.888889,0.000000,260,410,670,940,1500,2300,3100,3200,3900,3900,3900,404,0,260,594.9370134826449,51.02264800007106,3930.708912001137,193.8960396039604
1789364875,30,GET,/alerts,0.200000,0.000000,140,210,210,210,300,380,380,380,380,380,380,12,0,140,168.20769141698597,64.29164099972695,384.4625659985468,2.0
1789364875,30,POST,/api-keys,2.200000,0.000000,750,1200,1200,1300,1400,1600,1600,1600,1600,1600,1600,22,0,730,813.6930921816449,195.00938199780649,1637.9163980018348,166.0
1789364875,30,POST,/auth/login,3.000000,0.000000,1400,1500,1700,1800,2000,2200,2300,2300,2300,2300,2300,30,0,1200,1179.312661133493,155.39359700051136,2336.287596997863,415.0
1789364875,30,POST,/auth/register-organization,3.000000,0.000000,2800,3100,3200,3200,3500,3500,3900,3900,3900,3900,3900,30,0,2500,2410.6155217330524,791.8378260001191,3930.708912001137,151.46666666666667
1789364875,30,POST,/hunting/search,0.500000,0.000000,190,270,270,270,290,320,320,320,320,320,320,16,0,190,249.51455662449007,119.24487800206407,529.7113349988649,23.0
1789364875,30,GET,/incidents,0.500000,0.000000,130,170,190,190,260,410,410,410,410,410,410,13,0,170,204.83600923034828,67.11363700014772,594.8800030018901,2267.230769230769
1789364875,30,POST,/incidents [seed],3.700000,0.000000,430,800,1200,1400,1500,1600,1600,1600,1600,1600,1600,40,0,430,685.1649022250058,217.76152000165894,1646.3696079990768,508.475
1789364875,30,POST,/ingest/events,14.300000,0.000000,220,260,310,330,470,930,1200,1500,2000,2000,2000,343,0,220,291.2043586500966,60.26985499920556,1969.4338139997853,67.0
1789364875,30,GET,/users/me,0.000000,0.000000,220,220,300,300,300,300,300,300,300,300,300,6,0,120,149.27781299957132,51.02264800007106,296.8729540007189,703.0
1789364875,30,,Aggregated,27.400000,0.000000,250,320,440,610,1400,2100,3000,3200,3900,3900,3900,512,0,250,512.6133687909444,51.02264800007106,3930.708912001137,191.50390625
1789364876,30,GET,/alerts,0.800000,0.000000,140,210,230,230,300,380,380,380,380,380,380,18,0,140,167.94961083340038,64.29164099972695,384.4625659985468,2.0
1789364876,30,POST,/api-keys,2.200000,0.000000,1100,1200,1200,1300,1400,1600,1600,1600,1600,1600,1600,22,0,730,813.6930921816449,195.00938199780649,1637.9163980018348,166.0
1789364876,30,POST,/auth/login,2.800000,0.000000,1400,1500,1800,1800,2000,2200,2300,2300,2300,2300,2300,30,0,1200,1179.312661133493,155.39359700051136,2336.287596997863,415.0
1789364876,30,POST,/auth/register-organization,2.500000,0.000000,3000,3100,3200,3200,3500,3900,3900,3900,3900,3900,3900,30,0,2500,2410.6155217330524,791.8378260001191,3930.708912001137,151.46666666666667
1789364876,30,POST,/hunting/search,1.200000,0.000000,200,230,270,270,290,320,320,320,320,320,320,19,0,200,240.17964936808167,119.24487800206407,529.7113349988649,23.0
1789364876,30,GET,/incidents,0.800000,0.000000,130,170,170,190,260,410,410,410,410,410,410,17,0,130,185.5195980584968,67.11363700014772,594.8800030018901,2267.529411764706
1789364876,30,POST,/incidents [seed],4.000000,0.000000,410,670,1000,1400,1500,1600,1600,1600,1600,1600,1600,40,0,430,685.1649022250058,217.76152000165894,1646.3696079990768,508.475
1789364876,30,POST,/ingest/events,24.300000,0.000000,210,260,290,320,390,670,1200,1400,2000,2000,2000,433,0,220,273.1907040438766,60.26985499920556,1969.4338139997853,67.0
1789364876,30,GET,/users/me,0.300000,0.000000,210,220,220,300,300,300,300,300,300,300,300,8,0,140,156.54984162483743,51.02264800007106,296.8729540007189,703.0
1789364876,30,,Aggregated,38.900000,0.000000,230,300,340,420,1200,1700,2800,3200,3900,3900,3900,617,0,240,459.14100921714646,51.02264800007106,3930.708912001137,185.80388978930307
1789364877,30,GET,/alerts,1.200000,0.000000,160,210,220,230,240,300,380,380,380,380,380,24,0,160,168.81460620834332,64.29164099972695,384.4625659985468,2.0
1789364877,30,POST,/api-keys,2.000000,0.000000,1100,1200,1200,1300,1400,1600,1600,1600,1600,1600,1600,22,0,730,813.6930921816449,195.00938199780649,1637.9163980018348,166.0
1789364877,30,POST,/auth/login,2.500000,0.000000,1400,1500,1800,1800,2000,2200,2300,2300,2300,2300,2300,30,0,1200,1179.312661133493,155.39359700051136,2336.287596997863,415.0
1789364877,30,POST,/auth/register-organization,2.500000,0.000000,3100,3200,3200,3200,3500,3900,3900,3900,3900,3900,3900,30,0,2500,2410.6155217330524,791.8378260001191,3930.708912001137,151.46666666666667
1789364877,30,POST,/hunting/search,1.600000,0.000000,230,280,280,290,300,320,320,320,320,320,320,25,0,230,246.1377058000653,119.24487800206407,529.7113349988649,23.0
1789364877,30,GET,/incidents,1.300000,0.000000,130,170,190,200,260,410,410,410,410,410,410,20,0,130,184.83249229975627,67.11363700014772,594.8800030018901,2267.8
